D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\220907_Pyc\PI_0min_3.d ,1,3.609,4.755,5.832,576.44,38797.62,100,100,100,1.025,,0,0,,,,,0,136.31,0.77,1526.34,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\std_0.d ,1,3.828,4.742,5.541,7897,43649,100,100,100,1.713,,0,0,0,0,,7897,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_2.d ,1,3.606,4.911,6.517,641.37,49309.68,100,100,100,1.13,,0,0,,,,,21.88,162.87,0.37,0,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_3.d ,1,3.82,5.027,6.519,893.67,49431.99,100,100,100,0.92,,0,0,,,,,0,202.99,0.46,692.02,,,  ,248.9699,,,,,,,,,,,
F:\2306\RC\230619\empty_60_2.d ,1,3.703,4.68,6.509,1647.16,56496.5,100,100,100,0.624,,0,0,,,,,87.13,304.77,0.7,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_120_1.d ,1,3.703,4.695,6.509,1678.91,60118.4,100,100,100,0.609,,0,767.88,,,,,244.84,244.84,0.47,2861.61,,0.14,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_1.d ,1,3.608,4.846,6.519,1121.95,62600,100,100,100,0.993,,0,0,,,,,0,198.16,0.48,2392.71,,0.09,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_1.d ,1,3.609,4.945,6.52,1053.06,64017.32,100,100,100,1.07,,0,753.2,,,,,0,189.98,0.46,1956.47,,,  ,248.9699,,,,,,,,,,,
F:\2306\RC\230619\gly_60_2.d ,1,3.699,4.683,6.505,1763.85,69644.22,100,100,100,0.873,,0,0,,,,,302.84,302.84,0.35,1739.41,,,  ,248.963,,,,,,,,,,,
F:\2306\RC\230619\gly_30_1.d ,1,3.699,4.688,6.504,1417.59,72295.6,100,100,100,0.915,,0,591.94,,,,,161.13,349.51,0.6,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_60_1.d ,1,3.708,4.68,6.514,1887.24,86286.7,100,100,100,0.927,,0,0,,,,,94,162.24,0.62,0,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_2.d ,1,3.822,4.608,6.521,6339.96,86432.16,100,100,100,0.309,,0,570.45,,,,,0,154.44,0.6,5362.95,,83.52,  ,850.1202,,,,,,,,,,,
F:\2306\RC\230619\gly_60_1.d ,1,3.71,4.686,6.515,2304.01,98030.32,100,100,100,0.978,,0,1049.92,,,,,183.66,183.66,0.52,2394.68,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_30_2.d ,1,3.7,4.678,6.505,2487.83,101589.12,100,100,100,0.666,,0,1466.45,,,,,59.34,529.99,0.47,6067.29,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_30min_3.d ,1,3.709,4.619,5.953,5298.69,104173.93,100,100,100,0.632,,0,0,,,,,0,29.18,0.73,3576.22,,,  ,850.1202,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_3.d ,1,3.608,4.807,6.519,2049.84,109054.16,100,100,100,0.815,,0,0,,,,,0,2.41,0.37,2289.47,,,  ,808.1168,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_30min_1.d ,1,3.708,4.587,6.019,7483.96,116938.47,100,100,100,0.565,,0,0,,,,,0,89.24,0.69,4784.78,,,  ,424.5639,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_30min_2.d ,1,3.607,4.601,6.518,6578.64,116965.81,100,100,100,0.601,,0,0,,,,,0,31.61,0.48,7042.3,,,  ,850.137,,,,,,,,,,,
F:\2306\RC\230619\ser_60_2.d ,1,3.699,4.681,6.505,2733.96,124032.13,100,100,100,0.73,,0,1340.52,,,,,220.75,220.75,0.35,0,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_1.d ,1,3.713,4.588,5.937,8843.86,144207.67,100,100,100,0.62,,0,0,,,,,0,81.03,0.81,6501.72,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_2.d ,1,3.607,4.583,5.563,9446.14,145396.88,100,100,100,0.592,,0,0,,,,,0,45.32,0.93,5255.93,,,  ,424.5639,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_2hr_3.d ,1,3.709,4.573,5.932,9465.78,150695.64,100,100,100,0.611,,0,0,,,,,0,114.88,0.78,6128.62,,,  ,248.9699,,,,,,,,,,,
F:\2306\RC\230619\ser_30_1.d ,1,3.701,4.666,6.506,3521.37,158653.56,100,100,100,0.818,,0,0,,,,,303.34,185.81,0.39,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_240_2.d ,1,3.704,4.679,6.509,3806.8,166849.04,100,100,100,0.66,,0,0,,,,,64.16,340.14,0.76,4323.29,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_0_2.d ,1,3.711,4.412,6.524,2592.18,178134.91,100,100,100,1.134,,0,861.26,,,,,27.03,349.57,0.39,0,,19.43,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_30min_1.d ,1,3.699,4.596,5.61,12105.18,178831.89,100,100,100,0.319,,0,0,,,,,0,53.42,0.56,10664.99,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_2hr_2.d ,1,3.71,4.567,5.924,10749.01,186658.35,100,100,100,0.584,,0,0,,,,,16.28,78.43,0.76,8435.66,,,  ,248.9699,,,,,,,,,,,
F:\2306\RC\230619\ser_60_1.d ,1,3.7,4.703,6.506,3553.99,187006.69,100,100,100,0.753,,340.25,0,,,,,18.41,500.74,0.44,2907.53,,,  ,248.9721,,,,,,,,,,,
