D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_3.d ,1,3.386,4.024,5.027,144.74,489.4,100,100,100,0.056,,0,0,,,,,0,12.81,6.51,0,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_3.d ,1,3.393,4.039,5.038,84.01,814.91,100,100,100,0.162,,0,0,,,,,0,0,1,0,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_1.d ,1,3.175,4.034,5.027,200.6,1756.13,100,100,100,0.266,,0,0,,,,,0,0,1.53,0,,,  ,146.0454,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_30min_3.d ,1,2.121,3.816,5.033,282.35,1932.23,100,100,100,0.439,,0,0,,,,,10.81,30.27,0,0,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_4hr_1.d ,1,2.124,3.85,5.035,143.06,2096.55,100,100,100,0.244,,0,0,,,,,12.28,12.47,1.22,0,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_4hr_3.d ,1,2.125,3.824,5.036,191.32,2161.37,100,100,100,0.449,,0,0,,,,,14.44,0,1.39,0,,,  ,248.9699,,,,,,,,,,,
F:\2306\RC\230619\pyr_60_2.d ,1,2.115,3.501,5.027,229.51,2281.66,100,100,100,0.317,,0,0,,,,,24.56,18.75,0,534.36,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\std_0.d ,1,3.071,3.854,5.03,167.4,2564.62,100,100,100,0.255,,0,0,,,,,0,0,0.89,0,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_2hr_3.d ,1,3.077,3.813,5.036,158.77,2619.21,100,100,100,0.275,,0,0,,,,,0,0,1,0,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_30min_2.d ,1,3.08,3.799,5.039,234.59,2824.66,100,100,100,0.426,,0,0,,,,,0,0,0.95,0,,,  ,237.0879,,,,,,,,,,,
