F:\2306\RC\230619\empty_480_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2306\RC\230619\gly_240_2.d ,1,4.217,4.499,4.837,4590,84428,100,100,100,0.621,,972,1953,81,81,,4672,,68.18,MM,,,,,M,,,,,,,
F:\2306\RC\230619\gly_0_2.d ,1,3.98,4.284,4.955,5843,92437,100,100,100,0.975,,0,1952,0,-82,,5817,,86.16,MM,,,,,M,,,,,,,
F:\2306\RC\230619\gly_30_2.d ,1,4.249,4.47,5.052,5172,118039,100,100,100,0.803,,1570,1828,81,-81,,5208,,76.94,MM,,,,,M,,,,,,,
F:\2306\RC\230619\gly_240_1.d ,1,4.1,4.382,5.103,4128,125013,100,100,100,1.003,,2680,2326,172,-172,,4203,,57.86,MM,,,,,M,,,,,,,
F:\2306\RC\230619\pyr_0_1.d ,1,4.045,4.338,5.02,12117,127272,100,100,100,0.975,,0,2862,0,147,,12161,,99.64,MM,,,,,M,,,,,,,
F:\2306\RC\230619\gly_0_1.d ,1,3.949,4.342,5.289,6141,127937,100,100,100,1.341,,0,1849,0,105,,6172,,70.77,MM,,,,,M,,,,,,,
F:\2306\RC\230619\pyr_30_2.d ,1,4.179,4.401,4.905,7021,133446,100,100,100,0.726,,845,3125,86,86,,7107,,98.79,MM,,,,,M,,,,,,,
F:\2306\RC\230619\gly_480_1.d ,1,4.182,4.342,5.002,6120,135660,100,100,100,0.82,,1712,1613,85,0,,6188,,87.45,MM,,,,,M,,,,,,,
F:\2306\RC\230619\pyr_0_2.d ,1,3.645,4.321,5.191,11695,146331,100,100,100,1.546,,0,0,0,0,,11695,,3.92,MM,,,,,M,,,,,,,
F:\2306\RC\230619\pyr_240_2.d ,1,4.199,4.642,5.124,5305,150898,100,100,100,0.925,,0,0,0,0,,5305,,73.43,MM,,,,,M,,,,,,,
F:\2306\RC\230619\gly_480_2.d ,1,4.081,4.441,5.056,7537,178131,100,100,100,0.975,,0,1880,0,0,,7537,,98.24,MM,,,,,M,,,,,,,
F:\2306\RC\230619\pyr_480_2.d ,1,4.183,4.343,4.886,8585,181219,100,100,100,0.704,,1815,1829,320,0,,8832,,97.2,MM,,,,,M,,,,,,,
F:\2306\RC\230619\empty_480_1.d ,1,3.965,4.375,5.578,5212,185471,100,100,100,1.612,,1206,1153,87,87,,5299,,72.7,MM,,,,,M,,,,,,,
F:\2306\RC\230619\pyr_120_1.d ,1,4.2,4.637,5.136,6695,186051,100,100,100,0.936,,1634,2821,81,0,,6738,,99.36,MM,,,,,M,,,,,,,
F:\2306\RC\230619\empty_480_2.d ,1,4.08,4.357,5.809,5083,189929,100,100,100,1.729,,1267,0,182,0,,5236,,67.5,MM,,,,,M,,,,,,,
F:\2306\RC\230619\pyr_240_1.d ,1,4.132,4.664,5.074,6937,206160,100,100,100,0.942,,2814,1725,89,-178,,6876,,94.32,MM,,,,,M,,,,,,,
F:\2306\RC\230619\pyr_30_1.d ,1,4.099,4.448,5.191,7893,226023,100,100,100,1.091,,3077,2896,96,0,,7958,,99.18,MM,,,,,M,,,,,,,
F:\2306\RC\230619\pyr_480_1.d ,1,4.145,4.317,4.971,11428,255454,100,100,100,0.826,,2535,3256,139,0,,11539,,99.04,MM,,,,,M,,,,,,,
F:\2306\RC\230619\mal_30_2.d ,1,3.76,4.619,5.843,32849,288933,100,100,100,2.083,,0,5432,0,5432,,35088,,11.02,MM,,,,,M,,,,,,,
F:\2306\RC\230619\mal_30_1.d ,1,3.948,4.635,5.61,31131,414776,100,100,100,1.662,,2170,0,2170,0,,32405,,10.45,MM,,,,,M,,,,,,,
F:\2306\RC\230619\mal_240_2.d ,1,3.71,4.259,5.594,184411,788640,100,100,100,1.884,,1712,7940,1712,7940,,187936,,61.88,MM,,,,,M,,,,,,,
F:\2306\RC\230619\mal_60_1.d ,1,3.76,4.27,5.694,172146,913728,100,100,100,1.934,,2753,5369,2753,5369,,175588,,57.77,MM,,,,,M,,,,,,,
F:\2306\RC\230619\mal_120_2.d ,1,3.862,4.255,5.574,147475,981447,100,100,100,1.712,,1828,6978,1828,6978,,150486,,49.49,MM,,,,,M,,,,,,,
F:\2306\RC\230619\mal_60_2.d ,1,3.678,4.27,5.628,180009,1092610,100,100,100,1.95,,1369,7806,1369,7806,,183335,,60.4,MM,,,,,M,,,,,,,
F:\2306\RC\230619\mal_240_1.d ,1,3.762,4.249,5.945,164306,1096927,100,100,100,2.183,,0,4852,0,4852,,165389,,55.13,MM,,,,,M,,,,,,,
F:\2306\RC\230619\mal_480_1.d ,1,3.624,4.25,5.896,295800,1331277,100,100,100,2.271,,767,6003,767,6003,,298010,,99.26,MM,,,,,M,,,,,,,
F:\2306\RC\230619\mal_480_2.d ,1,3.759,4.263,5.842,223309,1544536,100,100,100,2.083,,685,0,685,0,,223828,,74.93,MM,,,,,M,,,,,,,
F:\2306\RC\230619\mal_120_1.d ,1,3.861,4.26,5.64,160854,1552652,100,100,100,1.778,,0,6102,0,6102,,162223,,53.98,MM,,,,,M,,,,,,,
