D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2306\RC\230619\empty_120_2.d ,1,4.87,5.699,6.511,17.01,445.83,100,100,100,0.437,,0,0,,,,,0,0,0.8,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_480_2.d ,1,4.655,6.16,6.507,58.38,530.84,100,100,100,0.152,,0,0,,,,,13.09,0,0.79,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_0_1.d ,1,4.654,5.962,6.507,78.98,1463.48,100,100,100,0.309,,0,0,,,,,29.47,46.21,0.12,0,,0.02,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_0_2.d ,1,4.667,6.074,6.524,46.4,3007.76,100,100,100,1.08,,0,0,,,,,0,39.95,1.31,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_0_1.d ,1,4.656,6.084,6.508,61.48,3508.01,100,100,100,0.825,,0,0,,,,,14.28,20.48,1.77,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\neg_nadp_2.d ,1,4.67,5.903,6.523,113.12,4682.67,100,100,100,0.69,,267.78,0,,,,,29.59,65.47,0.62,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\neg_nadp_1.d ,1,4.655,5.999,6.507,97.21,5129.81,100,100,100,0.845,,0,0,,,,,22.28,64.3,0.93,206.48,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_0_1.d ,1,4.666,5.968,6.519,87.96,5846.02,100,100,100,1.011,,0,0,,,,,0,0,1.38,0,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_3.d ,1,4.667,6.174,6.519,1782.98,77660.28,100,100,100,0.726,,361.56,2403.98,,,,,57.19,1023.42,0.96,2547.55,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_2.d ,1,4.665,6.135,6.517,2378.83,108923.53,100,100,100,0.763,,233.56,2620.03,,,,,185.09,928.18,1.04,3194.76,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_1.d ,1,4.668,6.021,6.52,3774.83,170248.85,100,100,100,0.75,,370.83,3363,,,,,337,1265.35,0.84,4608.7,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_1.d ,1,4.666,5.929,6.519,6337.98,217226.29,100,100,100,0.571,,714.73,3744,,,,,1458.91,1458.91,0.52,8055.85,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_3.d ,1,4.667,5.936,6.519,5868,253689.9,100,100,100,0.693,,0,3657.66,,,,,426.5,1368.1,0.8,7665.39,,,  ,191.0142,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_3.d ,1,4.682,5.119,5.618,120924,446008,100,100,100,0.936,,0,1193,0,1193,,121482,,,MM,,,,,M,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_2.d ,1,4.658,5.117,6.511,50942.05,533433.02,100,100,100,0.175,,0,314.69,,,,,241.25,241.25,0.91,128278.52,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_2.d ,1,4.625,5.14,5.761,133933,546599,100,100,100,1.136,,0,880,0,880,,134333,,,MM,,,,,M,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_3.d ,1,4.664,5.129,5.722,136084,559315,100,100,100,1.058,,0,1168,0,1168,,136598,,,MM,,,,,M,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_1.d ,1,4.74,5.134,5.793,161210,657737,100,100,100,1.053,,0,857,0,857,,161530,,,MM,,,,,M,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\neg_2.d ,1,4.509,4.952,5.645,154190,682455,100,100,100,1.136,,0,954,0,954,,154563,,,MM,,,,,M,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\neg_1.d ,1,4.26,4.891,5.373,149346,684187,100,100,100,1.114,,0,1530,0,1530,,150213,,,MM,,,,,M,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_1.d ,1,4.658,5.098,6.511,88262.76,720762.23,100,100,100,0.136,,0,0,,,,,337,337,0.94,180433.75,,,  ,191.0207,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_3.d ,1,4.654,5.16,6.507,75025.72,789537.12,100,100,100,0.175,,0,445,,,,,275.31,275.31,0.92,91915.52,,,  ,191.0207,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_1.d ,1,4.657,5.148,6.51,66836.77,816069.83,100,100,100,0.482,,0,0,,,,,385.69,385.69,1.13,136220.11,,,  ,191.0207,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_2.d ,1,4.657,5.14,6.51,60397.42,820888.61,100,100,100,0.505,,0,818.54,,,,,577.44,577.44,1.08,140695.27,,,  ,191.0207,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_3.d ,1,4.667,5.748,6.52,36720.2,910134.07,100,100,100,0.413,,611.35,5174.37,,,,,371.59,1962.88,0.81,35565.64,,,  ,191.0142,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\neg_3.d ,1,4.622,5.032,5.52,205919,920528,100,100,100,0.898,,237,1646,237,1646,,206799,,,MM,,,,,M,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_dil_2.d ,1,4.658,5.463,6.511,56350.24,1684088.73,100,100,100,0.498,,1010.27,3678.51,,,,,956.63,3007.53,0.81,73557.41,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_2.d ,1,4.659,5.347,6.511,115582.32,1896007.93,100,100,100,0.336,,0,2581.13,,,,,889.59,1735.15,0.67,95690.66,,,  ,191.0207,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_3.d ,1,4.659,5.498,6.511,61821.55,1950979.94,100,100,100,0.526,,529.64,8189,,,,,695.31,6007.44,0.77,71248.26,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_dil_2.d ,1,4.658,5.302,6.511,100170.52,2335514.97,100,100,100,0.389,,772.14,3221.33,,,,,2173.94,2173.94,0.85,98875.68,,,  ,191.0207,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_dil_3.d ,1,4.66,5.307,6.513,97391.51,2371066.7,100,100,100,0.406,,325.22,2946.25,,,,,501.19,2183.74,0.86,99862.25,,,  ,191.0207,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_dil_3.d ,1,4.655,5.432,6.508,102447.74,2448172.38,100,100,100,0.398,,927.43,3953.73,,,,,691.91,4344.42,0.84,97719.97,,,  ,505.9933,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_2.d ,1,4.659,5.466,6.511,80263.35,2549379.28,100,100,100,0.529,,656.01,7045.46,,,,,804.81,4785.85,0.78,100906.77,,,  ,505.9804,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_3.d ,1,4.657,5.318,6.51,108093.1,2572417.59,100,100,100,0.397,,871.39,4300.46,,,,,682.47,2893.67,0.85,104076.24,,,  ,191.0207,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_dil_1.d ,1,4.659,5.298,6.511,103113.56,2605882.41,100,100,100,0.421,,755.24,4143.47,,,,,655.5,2418.2,0.86,107183.88,,,  ,191.0207,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_4hr_1.d ,1,4.667,5.703,6.52,114070.27,2754908.75,100,100,100,0.403,,0,9468.15,,,,,0,4261.28,0.82,133689.34,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_4hr_2.d ,1,4.666,5.665,6.518,200554.38,2756290.11,100,100,100,0.297,,238.95,7916.45,,,,,168.22,3101.78,0.61,175623.66,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_4hr_3.d ,1,4.666,5.634,6.519,200377.12,2996545.08,100,100,100,0.249,,0,8329.77,,,,,298.75,2967.62,0.84,178917.84,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_4hr_1.d ,1,4.665,5.618,6.517,187552.02,3206686.61,100,100,100,0.285,,379.86,8423.02,,,,,231.44,3506.06,0.85,191803.73,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_2hr_1.d ,1,4.668,5.611,6.52,192034.07,3218142.64,100,100,100,0.279,,394.36,7234.15,,,,,257.09,3199.22,0.87,206002.03,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_2hr_2.d ,1,4.668,5.598,6.521,177101.13,3608551.05,100,100,100,0.34,,225.09,7933.95,,,,,324.78,3208,0.86,205589.81,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_2hr_3.d ,1,4.665,5.596,6.518,178116.32,3682816.82,100,100,100,0.345,,0,6518.49,,,,,299.5,3159.23,0.87,210632.75,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_30min_3.d ,1,4.662,5.592,6.515,181349.08,3800077.89,100,100,100,0.349,,630.7,6652.43,,,,,496.81,3022.43,0.87,212326.41,,,  ,191.0142,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_dil_1.d ,1,4.66,5.391,6.513,158768.07,4002869.02,100,100,100,0.42,,906.32,7442.58,,,,,1023.47,3972.16,0.85,172231.88,,,  ,505.9933,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_4hr_2.d ,1,4.665,5.602,6.517,172952.52,4037639.16,100,100,100,0.389,,273,8829.34,,,,,212.91,3238.46,0.87,194073.16,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_2hr_1.d ,1,4.664,5.591,6.516,182288.33,4183903.22,100,100,100,0.383,,0,6740.42,,,,,258.69,3585.42,0.87,215728.47,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_2hr_3.d ,1,4.662,5.589,6.514,181101.3,4210641.4,100,100,100,0.388,,489.67,6560.25,,,,,343.44,3424.5,0.87,210551.81,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_1hr_2.d ,1,4.666,5.594,6.518,185862.28,4263916.01,100,100,100,0.382,,0,7616.43,,,,,353.09,3342.65,0.87,222727.34,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_1hr_1.d ,1,4.667,5.603,6.52,202820.49,4382041.58,100,100,100,0.36,,0,7470.14,,,,,140.34,3125.28,0.87,227294.38,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_4hr_3.d ,1,4.663,5.602,6.515,196054.5,4414961.08,100,100,100,0.375,,237.82,6472.39,,,,,232,3453.94,0.88,210600.69,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_30min_2.d ,1,4.665,5.586,6.518,187515.97,4526534.06,100,100,100,0.402,,465.53,7716.85,,,,,384.84,3049.04,0.87,230355.34,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_1hr_3.d ,1,4.668,5.588,6.52,190858.45,4695436.9,100,100,100,0.41,,293.25,7860.08,,,,,387.13,2881.12,0.87,230538.95,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_1.d ,1,4.666,5.587,6.519,201663.04,4886345.41,100,100,100,0.404,,431.7,7332.76,,,,,332.91,4018.18,0.88,238506.98,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_2.d ,1,4.668,5.587,6.521,213550.01,5416445.45,100,100,100,0.423,,387.28,8355.9,,,,,250.06,3381.13,0.87,257686.05,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_30min_1.d ,1,4.652,5.592,6.505,238231.55,5469600.55,100,100,100,0.383,,401.87,8476.61,,,,,178.81,4235.71,0.89,257648.31,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_2hr_2.d ,1,4.663,5.583,6.516,230169.31,5503129.23,100,100,100,0.398,,489,7397,,,,,319.03,3499.9,0.89,267845.19,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_30min_1.d ,1,4.663,5.582,6.521,233485.89,5831149.82,100,100,100,0.416,,428.46,8247.75,,,,,366.06,2879.93,0.89,274479.97,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_30min_2.d ,1,4.668,5.581,6.521,234479.89,5913604.03,100,100,100,0.42,,393.53,7638.29,,,,,357.03,3231.16,0.89,288228.66,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_30min_3.d ,1,4.652,5.585,6.505,266733.51,6254831.98,100,100,100,0.391,,542.72,8456.01,,,,,408,3713.01,0.9,293410.81,,,  ,191.0142,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_2.d ,1,4.666,5.585,6.519,255232.67,6258899.15,100,100,100,0.409,,462.63,7292.89,,,,,295.91,3990.14,0.9,309171.25,,,  ,191.0142,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,1,4.659,5.395,6.511,274763.16,7114945.95,100,100,100,0.432,,0,11959.48,,,,,0,7805.27,0.82,291906.69,,,  ,505.9933,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_1.d ,1,4.66,5.233,6.512,433587.35,8538747.56,100,100,100,0.328,,0,4766.06,,,,,4071.41,4071.41,0.89,377454.44,,,  ,191.0207,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-3.d ,1,4.141,5.25,6.523,23.94,1190.45,100,100,100,0.746,,0,226.09,,,,,0,9.9,2.09,210.06,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-2.d ,1,4.137,4.95,6.519,194.57,6256.35,100,100,100,0.842,,0,0,,,,,0,10.52,0.54,409.46,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-2.d ,1,4.139,5.139,6.521,3205.13,48601.72,100,100,100,0.32,,0,264.88,,,,,20.84,55.05,0.52,3101.78,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-1.d ,1,4.137,5.159,6.519,2606.94,70042.68,100,100,100,0.646,,0,270.21,,,,,0,12.04,0.74,3675.64,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-1.d ,1,4.123,5.513,6.505,7699.31,135828.65,100,100,100,0.499,,0,0,,,,,0,285.1,0.66,5826.19,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-2.d ,1,4.138,5.492,6.52,8973.49,189419.45,100,100,100,0.352,,0,649.56,,,,,12.41,197.21,0.81,10892.86,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-3.d ,1,4.134,5.512,6.516,15721.71,292071.03,100,100,100,0.31,,0,667.35,,,,,0,311.85,0.78,12221.35,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-3.d ,1,4.138,5.5,6.52,20830.93,346910.11,100,100,100,0.503,,0,817.67,,,,,0,230.69,0.82,19713.39,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-2.d ,1,4.137,5.513,6.519,21715.88,416953.64,100,100,100,0.32,,0,939.53,,,,,34.78,377.23,0.79,20343.8,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-1.d ,1,4.139,5.092,6.521,69294.26,802599.03,100,100,100,0.511,,0,760.44,,,,,42.28,227.75,0.72,56233.19,,56.9,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-1.d ,1,4.14,4.933,6.522,98099.03,1221276.99,100,100,100,0.207,,0,872.55,,,,,17.53,361.21,0.89,129815.14,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-2.d ,1,4.136,5.43,6.518,123526.45,1442891.47,100,100,100,0.486,,0,1646.7,,,,,38.5,580.27,0.77,102527.8,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-3.d ,1,4.139,4.92,6.521,134104.97,1616389.7,100,100,100,0.201,,0,783.66,,,,,51.25,550.99,0.85,114578.43,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-2.d ,1,4.141,4.925,6.523,141146.03,1743960.63,100,100,100,0.206,,0,1379.23,,,,,63.78,627.14,0.86,111043.25,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,1,4.125,5.437,6.507,186191.5,2169383.06,100,100,100,0.194,,0,1263.93,,,,,18.5,941.37,0.9,184115.02,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero3.d ,1,4.136,4.917,6.518,170410.36,2212410.33,100,100,100,0.576,,0,1197.57,,,,,485.59,485.59,0.73,157320.13,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-3.d ,1,4.133,5.409,6.515,167876.53,2248582.04,100,100,100,0.494,,0,1846.33,,,,,0,932.53,0.82,149998.72,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-1.d ,1,4.134,5.338,6.516,182075.1,2360103.52,100,100,100,0.292,,0,2873.02,,,,,0,982.94,0.67,148419.28,,,  ,191.0144,,,,,,,,,,,
