F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2306\RC\230619\empty_480_1.d ,1,3.708,4.651,5.984,107.74,924.86,100,100,100,0.498,,0,0,,,,,11.09,0,0,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_0_1.d ,1,3.609,4.664,5.382,161.49,992.27,100,100,100,0.247,,0,0,,,,,14.47,0,17.37,333.01,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_0_1.d ,1,3.609,4.618,5.991,136.45,1009.07,100,100,100,0.424,,0,0,,,,,27.69,0,0.51,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_120_2.d ,1,3.698,4.618,5.265,72.96,1090.56,100,100,100,0.393,,0,0,,,,,0,0,1.45,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_30_2.d ,1,3.7,4.643,5.976,147.86,1254.07,100,100,100,0.318,,0,0,,,,,12.03,0,0.57,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_0_1.d ,1,4.219,4.641,5.039,972,1304,100,100,100,0.82,,0,0,0,0,,972,,0.02,MM,,,,,M,,,,,,,,,,,
F:\2306\RC\230619\ser_0_2.d ,1,3.608,4.689,5.99,157.76,1560.46,100,100,100,0.165,,0,0,,,,,10.66,0,1.21,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_0_2.d ,1,4.248,4.636,5.107,793,1630,100,100,100,0.859,,0,0,0,0,,793,,,MM,,,,,M,,,,,,,,,,,
F:\2306\RC\230619\gly_480_2.d ,1,3.702,4.363,5.978,122.23,1992.34,100,100,100,0.34,,0,0,,,,,0,0,0.67,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_30_1.d ,1,3.608,4.572,5.99,69.03,2171.79,100,100,100,0.661,,0,0,,,,,0,0,0.69,0,,,  ,248.9721,,,,,,,,,,,
