F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-4.d ,1,3.396,4.389,5.99,148.66,3266.94,100,100,100,0.811,,0,0,,,,,0,127.77,0.73,0,,,  ,248.9664,,,,,,,,,,,
F:\2306\RC\230619\empty_60_1.d ,1,3.179,4.66,5.984,180.25,3758.27,100,100,100,0.475,,0,0,,,,,25.19,155.48,0.83,0,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-3.d ,1,3.294,3.98,5.994,74.44,4427.94,100,100,100,0.991,,0,0,,,,,0,0,0.22,0,,,  ,248.9694,,,,,,,,,,,
F:\2306\RC\230619\empty_120_2.d ,1,3.176,5.493,5.981,195.94,4651.53,100,100,100,0.396,,0,0,,,,,0,63.58,2.16,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_120_1.d ,1,4.233,5.001,5.979,213.08,4884.26,100,100,100,0.574,,0,0,,,,,0,91.33,1.63,0,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-3.d ,1,3.186,3.848,5.567,100.5,5355.33,100,100,100,0.92,,0,0,,,,,0,0,0.36,0,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-2.d ,1,3.185,3.924,5.99,289.77,8804.54,100,100,100,0.506,,0,0,,,,,32.41,43.29,0.68,0,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_3.d ,1,3.184,4.931,5.99,361.09,11991.92,100,100,100,0.554,,0,0,,,,,18.44,79.93,0.65,742.05,,,  ,248.9699,,,,,,,,,,,
F:\2306\RC\230619\empty_60_2.d ,1,4.138,4.659,5.839,2278,12233,100,100,100,1.701,,0,0,0,0,,2278,,,MM,,,,,M,,,,,,,,,,,
F:\2306\RC\230619\gly_60_1.d ,1,4.217,4.632,5.801,1978,12526,100,100,100,1.585,,0,0,0,0,,1978,,,MM,,,,,M,,,,,,,,,,,
F:\2306\RC\230619\gly_60_2.d ,1,4.328,5.447,5.863,1575,13922,100,100,100,1.535,,0,718,0,-16,,1563,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_2.d ,1,4.135,4.874,5.988,393.03,19202.85,100,100,100,0.911,,0,0,,,,,0,33.75,0.49,1026.55,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_3.d ,1,3.185,4.744,5.991,560.93,20304.16,100,100,100,0.639,,0,0,,,,,27.97,48,0.72,0,,,  ,248.9699,,,,,,,,,,,
F:\2306\RC\230619\ser_60_1.d ,1,3.806,5.365,5.976,388.42,21550.32,100,100,100,0.925,,0,764.76,,,,,0,564.54,2.87,1199.01,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_1.d ,1,4.032,4.846,5.991,668.67,22240.08,100,100,100,0.691,,0,0,,,,,0,98.37,0.6,1103.23,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_1.d ,1,3.608,4.812,5.99,819.66,22280.77,100,100,100,0.583,,0,670.3,,,,,0,119.81,0.7,0,,,  ,808.1168,,,,,,,,,,,
F:\2306\RC\230619\gly_30_1.d ,1,3.169,5.145,5.975,469.07,28669.43,100,100,100,1.06,,0,0,,,,,0,77.11,1.19,0,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_3.d ,1,3.184,4.768,5.99,1067.35,34318.78,100,100,100,0.642,,0,577.72,,,,,12.22,120.98,0.52,1663.31,,,  ,248.9699,,,,,,,,,,,
F:\2306\RC\230619\ser_30_2.d ,1,3.17,5.241,5.976,706.11,34674.49,100,100,100,0.869,,0,0,,,,,0,155.38,1.38,1125.09,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_60_2.d ,1,3.17,4.943,5.975,380.42,39345.19,100,100,100,1.443,,0,0,,,,,0,29.44,0.66,1301.14,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_2.d ,1,3.822,4.606,5.992,3065.92,44069.53,100,100,100,0.324,,0,397.49,,,,,0,37.13,0.57,3156.21,,,  ,850.1202,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_30min_3.d ,1,3.815,4.618,5.986,2218,44148.8,100,100,100,0.332,,0,0,,,,,0,19.95,0.79,2185.4,,,  ,850.1202,,,,,,,,,,,
F:\2306\RC\230619\ser_30_1.d ,1,3.171,4.685,5.977,1547.55,44474.51,100,100,100,0.566,,0,449.27,,,,,133.97,359.46,0.43,0,,,  ,248.9721,,,,,,,,,,,
