D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2306\RC\230619\pyr_240_2.d ,1,3.703,4.821,5.45,40.81,99.03,100,100,100,0.277,,0,0,,,,,11.84,32.92,0,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\neg_nad_1.d ,1,3.609,5.081,5.461,102.18,137.61,100,100,100,0.022,,0,0,,,,,58.25,8.41,-0.85,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_60_1.d ,1,3.7,4.345,5.553,34.72,512.43,100,100,100,0.246,,0,0,,,,,12.19,0,0.31,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_480_1.d ,1,3.705,5.017,5.452,7.88,648.57,100,100,100,1.372,,0,0,,,,,0,27.48,3.27,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_480_2.d ,1,3.706,4.811,5.453,48,847.64,100,100,100,0.294,,210.76,0,,,,,22.75,3.72,0.31,266.03,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_240_1.d ,1,3.609,4.934,5.462,88.7,1324.89,100,100,100,0.249,,0,0,,,,,32.69,0,0.52,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_60_1.d ,1,3.71,4.846,5.457,47.3,1519.12,100,100,100,0.559,,0,0,,,,,0,0,2.75,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\neg_nad_2.d ,1,3.611,4.922,5.464,151.36,1733.66,100,100,100,0.442,,306.08,0,,,,,28.44,31.45,0,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_0_1.d ,1,3.703,4.788,5.45,450.37,2423.61,100,100,100,0.09,,0,0,,,,,24.78,38.64,0.95,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_30_2.d ,1,3.702,4.784,5.449,111.69,2747.84,100,100,100,0.41,,0,0,,,,,0,0,1.17,447.62,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_120_2.d ,1,3.698,4.911,5.551,72.8,2803.98,100,100,100,0.657,,0,0,,,,,0,35.73,0.77,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_0_2.d ,1,3.701,4.78,5.448,400.15,2925.91,100,100,100,0.122,,0,0,,,,,23,43.29,0.73,585.26,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_30_2.d ,1,3.608,4.855,5.461,174.54,3050.84,100,100,100,0.291,,0,0,,,,,11.03,22.15,1.04,384.07,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_30_2.d ,1,3.701,4.843,5.448,123.67,3141.46,100,100,100,0.423,,0,0,,,,,0,0,1.3,228.7,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_30_2.d ,1,3.7,4.848,5.553,132.56,3310.17,100,100,100,0.416,,0,0,,,,,0,11.27,1.29,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_0_2.d ,1,3.711,4.783,5.463,349.77,3479.56,100,100,100,0.359,,287.68,0,,,,,26.34,12.44,0.67,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_30_1.d ,1,3.701,4.802,5.448,231.45,3517.82,100,100,100,0.253,,0,0,,,,,0,0,1.16,380.08,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\std_5.d ,1,3.707,5.134,5.454,238.3,3598.23,100,100,100,0.252,,0,245.94,,,,,23.09,150.48,0.09,0,,,  ,133.0145,,,,,,,,,,,
F:\2306\RC\230619\pyr_0_2.d ,1,3.608,4.792,5.461,437.79,5210.18,100,100,100,0.198,,0,0,,,,,0,14.28,1.02,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\neg_nadp_1.d ,1,3.702,4.758,5.449,430.76,5265.21,100,100,100,0.204,,0,0,,,,,0,0,1.02,577.17,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_0_1.d ,1,3.609,4.801,5.462,442.6,5282.11,100,100,100,0.402,,0,0,,,,,3.03,13.39,1.51,312.24,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_30_1.d ,1,3.81,4.786,5.451,383.89,5579.84,100,100,100,0.242,,0,0,,,,,0,0,1.06,725.87,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_0_2.d ,1,3.608,4.793,5.46,654.61,6271.66,100,100,100,0.26,,0,0,,,,,41.84,0,0.79,746.17,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\neg_nadp_2.d ,1,3.612,4.78,5.464,558.29,6567.26,100,100,100,0.196,,0,0,,,,,0.81,11.93,1.08,522.12,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_0_1.d ,1,3.702,4.779,5.448,573.91,6729.32,100,100,100,0.195,,0,0,,,,,0,0.61,1.12,0,,0.01,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_0_1.d ,1,3.607,4.781,5.46,715.79,7871.63,100,100,100,0.383,,0,0,,,,,0,10.63,1.29,839.02,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\std_3.d ,1,3.704,4.953,5.451,733,16256.45,100,100,100,0.37,,0,0,,,,,11.34,75.4,0.87,1090.26,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\std_2.d ,1,3.705,4.883,5.452,2901.09,32566.52,100,100,100,0.187,,0,0,,,,,10.88,23.04,0.93,2511.47,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_3.d ,1,4.031,4.886,5.461,9956.24,128345.24,100,100,100,0.215,,0,412.69,,,,,0,328.94,0.96,7976.84,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_2.d ,1,4.135,4.877,5.459,12779.23,156748.11,100,100,100,0.204,,0,397.8,,,,,0,392.75,0.97,10452.26,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_1.d ,1,3.609,4.858,5.462,18556.99,235178.46,100,100,100,0.211,,0,773.03,,,,,0,535.3,0.94,23700.81,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_1.d ,1,3.714,4.817,5.46,42219.46,467269.27,100,100,100,0.184,,0,692.32,,,,,0,637.83,0.97,79153.39,,,  ,248.9699,,,,,,,,,,,
