F:\2306\RC\230619\empty_0_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2306\RC\230619\gly_60_2.d ,1,4.123,5.05,5.975,69.04,492.28,100,100,100,0.387,,0,0,,,,,19.63,56.72,0,0,,,  ,248.963,,,,,,,,,,,
F:\2306\RC\230619\pyr_60_2.d ,1,4.127,5.002,5.98,42.27,1999.34,100,100,100,0.778,,0,0,,,,,0,43.28,1.1,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_60_2.d ,1,4.127,4.977,5.979,88.85,2679.77,100,100,100,0.503,,0,0,,,,,17.22,45.32,0.95,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_60_1.d ,1,4.124,4.991,5.976,129.98,2720.24,100,100,100,0.411,,0,0,,,,,27.97,16.72,0.83,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_30_1.d ,1,4.124,4.943,5.977,268.22,3671.26,100,100,100,0.491,,0,567.23,,,,,27.31,75.44,0.95,1187.06,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_60_1.d ,1,4.133,5.011,5.986,209.29,4506.7,100,100,100,0.404,,0,0,,,,,0,11.94,0.72,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_60_1.d ,1,4.127,5.134,5.979,83.47,4530.76,100,100,100,0.904,,0,0,,,,,0,0,1,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_30_1.d ,1,4.122,5.083,5.975,131.04,5450.86,100,100,100,0.77,,0,0,,,,,19.47,0,0.66,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_60_2.d ,1,4.126,4.995,5.979,273.65,5760.32,100,100,100,0.464,,0,0,,,,,11.84,0,0.52,638.68,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_60_1.d ,1,4.132,4.988,5.984,371.85,5793.43,100,100,100,0.444,,0,0,,,,,22.47,31.04,0.7,1066.67,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_60_1.d ,1,4.125,5,5.978,292.64,6214.94,100,100,100,0.354,,0,0,,,,,0,28.32,1,518.9,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_60_2.d ,1,4.123,5.158,5.975,176.77,6403.12,100,100,100,0.604,,0,0,,,,,0,17.41,0.97,722.69,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_120_2.d ,1,4.129,4.983,5.981,778.76,10164,100,100,100,0.476,,0,0,,,,,0,37.04,0.63,1175.86,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_30_2.d ,1,4.123,4.982,5.976,575.32,11929.1,100,100,100,0.491,,0,0,,,,,17,48.81,0.87,1273.72,,,  ,248.9721,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_dil_1.d ,1,5.372,6.048,6.43,3221,12261,100,100,100,1.058,,0,1033,0,1033,,3881,,,MM,,,,,M,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_dil_2.d ,1,5.609,6.096,6.501,1959,13974,100,100,100,0.892,,0,362,0,362,,2157,,,MM,,,,,M,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_dil_3.d ,1,5.711,6.049,6.431,2089,14126,100,100,100,0.72,,0,571,0,571,,2357,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_4hr_1.d ,1,5.038,5.698,6.247,2761,15131,100,100,100,1.209,,0,1148,0,1148,,3387,,,MM,,,,,M,,,,,,,,,,,
