Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI
WP_000263098.1,2.7.7.6,Escherichia coli,R1,Dna-directed rna polymerase,R00444,MRL,C00201,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.09928064; Km_C00201: 0.09928064,Kcat_F: 7.19813326011389; Kcat_R: 0.003180952,C00063;C00075;C00046;C00201;C00013;C00044;C00002,C00201_KI: 0.06970829640000001;C00075_KI: 0.110227138;C00002_KI: 0.034111816;C00063_KI: 0.053723808;C00046_KI: 0.06970829640000001;C00044_KI: 0.05119808;C00013_KI: 0.09928064
WP_000263098.1,2.7.7.6,Escherichia coli,R2,Dna-directed rna polymerase,R00435,MRL,C00002,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.066696228; Km_C00002: 0.034111816,Kcat_F: 0.09186744; Kcat_R: 0.003180952,C00063;C00075;C00046;C00201;C00013;C00044;C00002,C00201_KI: 0.06970829640000001;C00075_KI: 0.110227138;C00002_KI: 0.034111816;C00063_KI: 0.053723808;C00046_KI: 0.06970829640000001;C00044_KI: 0.05119808;C00013_KI: 0.09928064
WP_000263098.1,2.7.7.6,Escherichia coli,R3,Dna-directed rna polymerase,R00441,MRL,C00044,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.07523936; Km_C00044: 0.05119808,Kcat_F: 0.057736397; Kcat_R: 0.003180952,C00063;C00075;C00046;C00201;C00013;C00044;C00002,C00201_KI: 0.06970829640000001;C00075_KI: 0.110227138;C00002_KI: 0.034111816;C00063_KI: 0.053723808;C00046_KI: 0.06970829640000001;C00044_KI: 0.05119808;C00013_KI: 0.09928064
WP_000263098.1,2.7.7.6,Escherichia coli,R4,Dna-directed rna polymerase,R00442,MRL,C00063,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.07650222400000001; Km_C00063: 0.053723808,Kcat_F: 0.057857452; Kcat_R: 0.003180952,C00063;C00075;C00046;C00201;C00013;C00044;C00002,C00201_KI: 0.06970829640000001;C00075_KI: 0.110227138;C00002_KI: 0.034111816;C00063_KI: 0.053723808;C00046_KI: 0.06970829640000001;C00044_KI: 0.05119808;C00013_KI: 0.09928064
WP_000263098.1,2.7.7.6,Escherichia coli,R5,Dna-directed rna polymerase,R00443,MRL,C00075,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.104753889; Km_C00075: 0.110227138,Kcat_F: 0.049924272; Kcat_R: 0.003180952,C00063;C00075;C00046;C00201;C00013;C00044;C00002,C00201_KI: 0.06970829640000001;C00075_KI: 0.110227138;C00002_KI: 0.034111816;C00063_KI: 0.053723808;C00046_KI: 0.06970829640000001;C00044_KI: 0.05119808;C00013_KI: 0.09928064
WP_000047185.1,6.1.1.7,Escherichia coli,R21,Alanine-trna ligase,R03038,MRL,C00002; C00041; C01635,C00013; C00020; C00886,Km_C00013: 0.072413243; Km_C00020: 0.022911394; Km_C00886: 0.07512429420000001; Km_C00002: 0.025530493; Km_C00041: 0.230766341; Km_C01635: 0.024,Kcat_F: 1.3847336176666667; Kcat_R: 1.5705551025000002,C00041;C00020;C00886;C00013;C01635;C00002,C00002_KI: 0.025530493;C00020_KI: 0.022911394;C01635_KI: 0.08790536775;C00013_KI: 0.072413243;C00886_KI: 0.08790536775;C00041_KI: 0.230766341
WP_001286879.1,6.1.1.5,Escherichia coli,R22,Isoleucine-trna ligase,R03656,MRL,C00002; C00407; C01644,C00013; C00020; C03127,Km_C00013: 0.039245732; Km_C00020: 0.01626548; Km_C03127: 0.0243369574; Km_C00002: 0.018193932; Km_C00407: 0.045879643; Km_C01644: 0.0021,Kcat_F: 10.395218501666667; Kcat_R: 12.780535491,C01644;C00020;C00407;C03127;C00013;C00002,C00407_KI: 0.045879643;C00013_KI: 0.039245732;C00020_KI: 0.01626548;C01644_KI: 0.02989619675;C03127_KI: 0.02989619675;C00002_KI: 0.018193932
WP_001260712.1,6.1.1.15,Escherichia coli,R23,Proline-trna ligase,R03661,MRL,C00002; C00148; C01649,C00013; C00020; C02702,Km_C00013: 0.223068416; Km_C00020: 0.065034218; Km_C02702: 11.1079288676; Km_C00002: 0.089042157; Km_C00148: 0.162499547; Km_C01649: 55.0,Kcat_F: 8.114441899333334; Kcat_R: 0.9549211915,C00148;C00020;C02702;C01649;C00013;C00002,C00148_KI: 0.162499547;C01649_KI: 0.1349110845;C02702_KI: 0.1349110845;C00002_KI: 0.089042157;C00020_KI: 0.065034218;C00013_KI: 0.223068416
WP_000672380.1,6.1.1.20,Escherichia coli,R24,Phenylalanine-trna ligase,R03660,MRL,C00002; C00079; C01648,C00013; C00020; C03511,Km_C00013: 0.110224701; Km_C00020: 0.021949925; Km_C03511: 184.6404921938; Km_C00002: 0.027728623; Km_C00079: 0.04255772; Km_C01648: 923.0,Kcat_F: 9.254705886666667; Kcat_R: 5.9763161745,C00020;C00079;C03511;C01648;C00013;C00002,C00020_KI: 0.021949925;C00002_KI: 0.027728623;C03511_KI: 0.05061524225;C00013_KI: 0.110224701;C00079_KI: 0.04255772;C01648_KI: 0.05061524225
WP_000886683.1,6.1.1.11,Escherichia coli,R25,Serine-trna ligase,R03662,MRL,C00002; C00065; C01650,C00013; C00020; C02553,Km_C00013: 0.00750173; Km_C00020: 0.001468161; Km_C02553: 0.0055857832000000005; Km_C00002: 0.001039614; Km_C00065: 0.017359411; Km_C01650: 0.00056,Kcat_F: 41.893331030000006; Kcat_R: 49.234747755,C00020;C06481;C01650;C00013;C00065;C02553;C16636;C00002,C02553_KI: 0.006093850600000001;C06481_KI: 0.006093850600000001;C00020_KI: 0.001468161;C00013_KI: 0.00750173;C16636_KI: 0.003100337;C00065_KI: 0.017359411;C00002_KI: 0.001039614;C01650_KI: 0.006093850600000001
