,Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters,Species,Relative
0,C00079,,Metabolite,0.001,,,,,v1
1,C00185,,Metabolite,0.001,,,,,v2
2,C00212,,Metabolite,0.001,,,,,v3
3,C04734,,Metabolite,0.001,,,,,v4
5,C00417,,Metabolite,0.001,,,,,v6
6,C06312,,Metabolite,0.001,,,,,v7
9,C00049,,Metabolite,0.001,,,,,v10
12,C00082,,Metabolite,0.001,,,,,v13
13,C00143,,Metabolite,0.001,,,,,v14
14,C00685,,Metabolite,0.001,,,,,v15
22,C00327,,Metabolite,0.001,,,,,v23
23,C01240,,Metabolite,0.001,,,,,v24
24,C15653,,Metabolite,0.001,,,,,v25
25,C01650,,Metabolite,0.001,,,,,v26
27,C00437,,Metabolite,0.001,,,,,v28
29,C00236,,Metabolite,0.0,,,,,v30
30,C00167,,Metabolite,0.001,,,,,v31
32,C04160,,Metabolite,0.001,,,,,v33
33,C00921,,Metabolite,0.001,,,,,v34
35,C00078,,Metabolite,0.001,,,,,v36
37,C00147,,Metabolite,0.001,,,,,v38
42,C00151,,Metabolite,0.001,,,,,v43
45,C00199,,Metabolite,0.5,,,,,v46
48,C00688,,Metabolite,0.001,,,,,v49
49,C06697,,Metabolite,0.001,,,,,v50
53,C01909,,Metabolite,0.001,,,,,v54
54,C00645,,Metabolite,0.001,,,,,v55
55,C02992,,Metabolite,0.001,,,,,v56
56,C01112,,Metabolite,0.001,,,,,v57
57,C03232,,Metabolite,0.001,,,,,v58
59,C00119,,Metabolite,0.001,,,,,v60
60,C01051,,Metabolite,0.001,,,,,v61
62,C03722,,Metabolite,0.001,,,,,v63
63,C00828,,Metabolite,0.001,,,,,v64
65,C00864,,Metabolite,0.001,,,,,v66
68,C00001,,Metabolite,0.001,,,,,v69
69,C04039,,Metabolite,0.001,,,,,v70
70,C03263,,Metabolite,0.001,,,,,v71
71,C03451,,Metabolite,0.001,,,,,v72
72,C00227,,Metabolite,1.1,,,,,v73
73,C01271,,Metabolite,0.001,,,,,v74
74,C03160,,Metabolite,0.001,,,,,v75
82,C04232,,Metabolite,0.001,,,,,v83
83,C07292,,Metabolite,0.001,,,,,v84
84,C00111,,Metabolite,0.37,,,,,v85
85,C03523,,Metabolite,0.001,,,,,v86
86,C00460,,Metabolite,0.001,,,,,v87
87,C01250,,Metabolite,0.001,,,,,v88
93,C04051,,Metabolite,0.001,,,,,v94
94,C03512,,Metabolite,0.001,,,,,v95
95,C00130,,Metabolite,0.001,,,,,v96
96,C00441,,Metabolite,0.001,,,,,v97
97,C02988,,Metabolite,0.001,,,,,v98
98,C01013,,Metabolite,0.001,,,,,v99
99,C00462,,Metabolite,0.001,,,,,v100
100,C11437,,Metabolite,0.001,,,,,v101
102,C02554,,Metabolite,0.001,,,,,v103
103,C00979,,Metabolite,0.001,,,,,v104
104,C00631,,Metabolite,0.0,,,,,v105
105,C15973,,Metabolite,0.001,,,,,v106
106,C00221,,Metabolite,0.001,,,,,v107
107,C00320,,Metabolite,0.001,,,,,v108
108,C00492,,Metabolite,0.001,,,,,v109
109,C01652,,Metabolite,0.001,,,,,v110
112,C06018,,Metabolite,0.001,,,,,v113
113,C00576,,Metabolite,0.001,,,,,v114
115,C00099,,Metabolite,0.001,,,,,v116
116,C00019,,Metabolite,0.001,,,,,v117
117,C01180,,Metabolite,0.001,,,,,v118
118,C00064,,Metabolite,0.001,,,,,v119
119,C00719,,Metabolite,0.001,,,,,v120
120,C01146,,Metabolite,0.001,,,,,v121
122,C04133,,Metabolite,0.001,,,,,v123
127,C02987,,Metabolite,0.001,,,,,v128
129,C00931,,Metabolite,0.001,,,,,v130
134,C05382,,Metabolite,0.0,,,,,v135
135,C00934,,Metabolite,0.001,,,,,v136
136,C00364,,Metabolite,0.001,,,,,v137
139,C00886,,Metabolite,0.001,,,,,v140
140,C01636,,Metabolite,0.001,,,,,v141
142,C00689,,Metabolite,0.001,,,,,v143
144,C04332,,Metabolite,0.001,,,,,v145
148,C04896,,Metabolite,0.001,,,,,v149
151,C01721,,Metabolite,0.001,,,,,v152
158,C01005,,Metabolite,0.001,,,,,v159
160,C00054,,Metabolite,0.001,,,,,v161
161,C00062,,Metabolite,0.001,,,,,v162
162,C01019,,Metabolite,0.001,,,,,v163
163,C01755,,Metabolite,0.001,,,,,v164
164,C00911,,Metabolite,0.001,,,,,v165
166,C11439,,Metabolite,0.001,,,,,v167
169,C00390,,Metabolite,0.001,,,,,v170
170,C00177,,Metabolite,0.001,,,,,v171
179,C00014,,Metabolite,0.001,,,,,v180
180,C00251,,Metabolite,0.001,,,,,v181
183,C05650,,Metabolite,0.001,,,,,v184
185,C00121,,Metabolite,0.001,,,,,v186
190,C03539,,Metabolite,0.001,,,,,v191
193,C03090,,Metabolite,0.001,,,,,v194
194,C04489,,Metabolite,0.001,,,,,v195
196,C04691,,Metabolite,0.001,,,,,v197
197,C06148,,Metabolite,0.001,,,,,v198
199,C00415,,Metabolite,0.001,,,,,v200
201,C03912,,Metabolite,0.001,,,,,v202
202,C02520,,Metabolite,0.001,,,,,v203
206,C00469,,Metabolite,0.001,,,,,v207
207,C00169,,Metabolite,0.001,,,,,v208
208,C03406,,Metabolite,0.001,,,,,v209
209,C01643,,Metabolite,0.001,,,,,v210
211,C03880,,Metabolite,0.001,,,,,v212
214,C00345,,Metabolite,3.8,,,,,v215
219,C00173,,Metabolite,0.001,,,,,v220
220,C15812,,Metabolite,0.001,,,,,v221
221,C02320,,Metabolite,0.001,,,,,v222
222,C00067,,Metabolite,0.001,,,,,v223
223,C02972,,Metabolite,0.001,,,,,v224
226,C00123,,Metabolite,0.001,,,,,v227
227,C00255,,Metabolite,0.001,,,,,v228
228,C05198,,Metabolite,0.001,,,,,v229
230,C02839,,Metabolite,0.001,,,,,v231
231,C00031,,Metabolite,0.001,,,,,v232
233,C04534,,Metabolite,0.001,,,,,v234
234,C04677,,Metabolite,0.001,,,,,v235
235,C00114,,Metabolite,0.001,,,,,v236
236,C00026,,Metabolite,0.44,,,,,v237
237,C00020,,Metabolite,0.001,,,,,v238
240,C16239,,Metabolite,0.001,,,,,v241
241,C00231,,Metabolite,0.5,,,,,v242
243,C11215,,Metabolite,0.001,,,,,v244
244,C00134,,Metabolite,0.001,,,,,v245
245,C14463,,Metabolite,0.001,,,,,v246
247,C00546,,Metabolite,0.001,,,,,v248
248,C02163,,Metabolite,0.001,,,,,v249
250,C04916,,Metabolite,0.001,,,,,v251
252,C07836,,Metabolite,0.001,,,,,v253
257,C00620,,Metabolite,0.001,,,,,v258
258,C05751,,Metabolite,0.001,,,,,v259
259,C00311,,Metabolite,0.001,,,,,v260
261,C03023,,Metabolite,0.001,,,,,v262
262,C00101,,Metabolite,0.001,,,,,v263
263,C01651,,Metabolite,0.001,,,,,v264
264,C00006,,Metabolite,0.0021,,,,,v265
266,C03972,,Metabolite,0.001,,,,,v267
268,C00179,,Metabolite,0.001,,,,,v269
270,C00027,,Metabolite,0.001,,,,,v271
272,C00043,,Metabolite,0.001,,,,,v273
273,C00857,,Metabolite,0.001,,,,,v274
274,C00842,,Metabolite,0.001,,,,,v275
275,C00680,,Metabolite,0.001,,,,,v276
276,C00033,,Metabolite,0.001,,,,,v277
278,C00399,,Metabolite,0.001,,,,,v279
279,C03419,,Metabolite,0.001,,,,,v280
281,C01646,,Metabolite,0.001,,,,,v282
282,C00155,,Metabolite,0.001,,,,,v283
283,C00141,,Metabolite,0.001,,,,,v284
284,C03741,,Metabolite,0.001,,,,,v285
285,C00068,,Metabolite,0.001,,,,,v286
288,C16698,,Metabolite,0.001,,,,,v289
289,C04631,,Metabolite,0.001,,,,,v290
294,C00037,,Metabolite,0.001,,,,,v295
296,C04144,,Metabolite,0.001,,,,,v297
301,C04751,,Metabolite,0.001,,,,,v302
302,C02739,,Metabolite,0.001,,,,,v303
