F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\tp-3.d ,1,4.139,4.805,6.521,71.6,3224.03,100,100,100,0.74,,0,0,,,,,43.56,66.37,0.35,0,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-3.d ,1,4.141,4.854,6.523,81.87,10057.5,100,100,100,2.047,,0,0,,,,,31.09,1.91,0.26,0,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-2.d ,1,4.137,4.871,6.519,465.05,26165.38,100,100,100,0.946,,0,613.06,,,,,155.13,155.13,0.37,0,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-2.d ,1,4.139,4.966,6.521,11463.48,284691.22,100,100,100,0.681,,0,950.54,,,,,150.13,230.68,0.64,14647.24,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-1.d ,1,4.137,5.012,6.519,26825.38,528011.76,100,100,100,0.617,,0,1345.58,,,,,132.31,386.26,0.58,23759.85,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-1.d ,1,4.123,5.239,6.505,19368.49,633178.91,100,100,100,0.706,,0,2555.31,,,,,47.78,1171.62,0.67,29653.46,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-2.d ,1,4.138,5.24,6.52,48633.74,845342.7,100,100,100,0.347,,0,2693.57,,,,,0,942.83,0.57,39479.04,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-3.d ,1,4.134,5.216,6.516,52890.03,1043396.27,100,100,100,0.57,,0,2354.47,,,,,41.16,1265.21,0.58,39924.3,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-2.d ,1,4.137,5.135,6.519,69838.75,1217832.31,100,100,100,0.347,,0,1999.87,,,,,70.34,1142.7,0.52,58005.62,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-1.d ,1,4.138,5.05,6.52,34289.2,1252553.71,100,100,100,0.751,,0,4023.63,,,,,92.03,1418.22,0.64,67451.98,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-3.d ,1,4.138,5.243,6.52,111127.94,1545261.54,100,100,100,0.232,,246.89,2732.04,,,,,94.44,1219.9,0.8,96769.12,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-2.d ,1,4.136,5.062,6.518,175946.51,2186571.06,100,100,100,0.546,,457.2,1889.48,,,,,82.94,643.51,0.88,227420.52,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,1,4.125,5.086,6.507,267859.33,2364310.9,100,100,100,0.252,,0,2131.97,,,,,11.25,961.02,0.52,245891.47,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-3.d ,1,4.133,5.003,6.515,298960.6,2901439.65,100,100,100,0.162,,0,1944.05,,,,,12.75,977.87,0.88,450343.31,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-1.d ,1,4.134,4.952,6.516,239346.27,3021513.13,100,100,100,0.558,,219.52,1982.34,,,,,91.13,1032.55,0.89,319352.78,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-1.d ,1,4.139,4.82,6.521,305782.8,3764781.82,100,100,100,0.205,,6233.41,3019.02,,,,,4127.69,1380.78,0.84,269825.53,,79.65,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero1.d ,1,3.47,4.479,5.904,702649,3829223,100,100,100,2.434,,0,3741,0,3741,,704200,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-3.d ,1,4.135,4.906,6.517,358716.69,3897744.79,100,100,100,0.181,,253.31,2923.61,,,,,99.44,1247.37,0.87,372404.5,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-2.d ,1,4.137,4.881,6.519,398348.46,4053884.17,100,100,100,0.522,,0,2954.63,,,,,155.53,1295.85,0.64,342862.91,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-1.d ,1,3.272,4.541,5.805,422249,4173635,100,100,100,2.533,,0,2520,0,2520,,423512,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero3.d ,1,3.806,4.504,6.173,661992,4273241,100,100,100,2.367,,0,2325,0,2325,,662678,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero2.d ,1,3.731,4.491,6.026,735101,4431848,100,100,100,2.295,,0,2621,0,2621,,735968,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-3.d ,1,3.482,4.513,5.866,681963,4669057,100,100,100,2.384,,0,2463,0,2463,,683028,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-2.d ,1,3.373,4.509,6.045,721575,4841656,100,100,100,2.672,,0,3028,0,3028,,722863,,,MM,,,,,M,,,,,,,,,,,
