F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\0p-2.d ,1,3.582,4.4,4.984,29.62,1669.19,100,100,100,0.939,,0,0,,,,,0,0,4.13,309.42,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-2.d ,1,3.583,3.92,4.986,65701.34,467035.22,100,100,100,0.118,,0,0,,,,,0,61.19,0.58,101366.2,,,  ,664.117,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-1.d ,1,3.634,3.967,4.984,192778.89,2343276.83,100,100,100,0.278,,0,474.27,,,,,0,279.89,0.59,140092.39,,,  ,664.117,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-3.d ,1,3.58,4.165,4.982,1875610.6,8187801.49,100,100,100,0.183,,332.57,0,,,,,36.81,0,0.71,1835047.13,,,  ,664.1038,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-2.d ,1,3.582,4.172,4.985,2242412.82,10793096.86,100,100,100,0.194,,0,0,,,,,0,305.98,0.81,2220754.5,,,  ,664.1038,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-1.d ,1,3.567,4.173,5.023,1955364.88,11203228.02,100,100,100,0.131,,0,544.08,,,,,0,314.29,0.86,2406428,,,  ,664.1038,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-2.d ,1,3.582,4.167,4.984,2435548.75,12210825.7,100,100,100,0.208,,0,710.3,,,,,0,811.87,0.87,2330135.5,,,  ,664.1038,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-2.d ,1,3.58,4.227,4.983,2432486.17,12354675.23,100,100,100,0.21,,0,1354.6,,,,,0,905.38,0.87,2621351.75,,,  ,664.1038,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,1,3.569,4.27,5.025,2685262.49,13352682.58,100,100,100,0.206,,0,1123.29,,,,,0,803.5,0.88,2844373,,,  ,664.1038,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-3.d ,1,3.577,4.218,4.98,2736911.65,14104792.69,100,100,100,0.212,,0,1182.1,,,,,0,843.4,0.86,2696694.25,,,  ,664.1038,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-3.d ,1,3.579,4.171,4.981,2871739.66,14121945.04,100,100,100,0.203,,0,549.63,,,,,1.06,419.42,0.84,3077122.5,,,  ,664.1038,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-1.d ,1,3.578,4.179,4.981,2647912.81,14747980.02,100,100,100,0.134,,0,0,,,,,0,641.09,0.87,3001353,,,  ,664.1038,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-3.d ,1,3.582,4.183,4.985,3316296.08,17851822.12,100,100,100,0.128,,0,409.96,,,,,0,393.25,0.85,4362690,,,  ,664.1038,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-1.d ,1,3.582,4.183,4.985,3503999.1,18187144.64,100,100,100,0.125,,0,0,,,,,0,0,0.86,4858472,,,  ,664.1038,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-1.d ,1,3.584,3.895,4.986,4299131.05,20292010.27,100,100,100,0.195,,0,613.36,,,,,80.19,638.04,0.96,5175366.5,,75.96,  ,664.117,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-1.d ,1,3.244,3.865,4.746,5776009,20816741,100,100,100,1.502,,353,612,353,612,,5776469,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero1.d ,1,3.575,3.893,4.69,4910978.67,20977228.74,100,100,100,0.191,,0,650.44,,,,,0,357.25,0.83,5381852.5,,,  ,664.117,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero3.d ,1,3.58,3.888,4.851,4339296.07,21295595.95,100,100,100,0.195,,0,458.46,,,,,0,337.94,1.06,5207158,,,  ,664.117,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-2.d ,1,3.581,4.157,4.984,4428142.33,21417899.35,100,100,100,0.194,,0,462.15,,,,,0,151.19,1,5187903.5,,,  ,664.1038,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-3.d ,1,3.583,3.889,4.986,4245950.89,21566741.27,100,100,100,0.196,,0,650.95,,,,,23.63,528.54,1.12,5438434.5,,,  ,664.117,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-2.d ,1,3.585,3.891,4.988,4413872.98,22786597.08,100,100,100,0.198,,0,787.92,,,,,0,847.38,1.13,5644200.5,,,  ,664.117,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero2.d ,1,3.583,3.887,4.759,4309727.32,23103760.51,100,100,100,0.199,,0,504.24,,,,,0,390.78,1.15,5553342.5,,,  ,664.117,,,,,,,,,,,
