F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\0p-3.d ,1,4.141,5.25,6.523,23.94,1190.45,100,100,100,0.746,,0,226.09,,,,,0,9.9,2.09,210.06,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-2.d ,1,4.137,4.95,6.519,194.57,6256.35,100,100,100,0.842,,0,0,,,,,0,10.52,0.54,409.46,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-2.d ,1,4.139,5.139,6.521,3205.13,48601.72,100,100,100,0.32,,0,264.88,,,,,20.84,55.05,0.52,3101.78,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-1.d ,1,4.137,5.159,6.519,2606.94,70042.68,100,100,100,0.646,,0,270.21,,,,,0,12.04,0.74,3675.64,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-1.d ,1,4.123,5.513,6.505,7699.31,135828.65,100,100,100,0.499,,0,0,,,,,0,285.1,0.66,5826.19,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-2.d ,1,4.138,5.492,6.52,8973.49,189419.45,100,100,100,0.352,,0,649.56,,,,,12.41,197.21,0.81,10892.86,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-3.d ,1,4.134,5.512,6.516,15721.71,292071.03,100,100,100,0.31,,0,667.35,,,,,0,311.85,0.78,12221.35,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-3.d ,1,4.138,5.5,6.52,20830.93,346910.11,100,100,100,0.503,,0,817.67,,,,,0,230.69,0.82,19713.39,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-2.d ,1,4.137,5.513,6.519,21715.88,416953.64,100,100,100,0.32,,0,939.53,,,,,34.78,377.23,0.79,20343.8,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-1.d ,1,4.139,5.092,6.521,69294.26,802599.03,100,100,100,0.511,,0,760.44,,,,,42.28,227.75,0.72,56233.19,,56.9,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-1.d ,1,4.14,4.933,6.522,98099.03,1221276.99,100,100,100,0.207,,0,872.55,,,,,17.53,361.21,0.89,129815.14,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-2.d ,1,4.136,5.43,6.518,123526.45,1442891.47,100,100,100,0.486,,0,1646.7,,,,,38.5,580.27,0.77,102527.8,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-3.d ,1,4.139,4.92,6.521,134104.97,1616389.7,100,100,100,0.201,,0,783.66,,,,,51.25,550.99,0.85,114578.43,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-2.d ,1,4.141,4.925,6.523,141146.03,1743960.63,100,100,100,0.206,,0,1379.23,,,,,63.78,627.14,0.86,111043.25,,,  ,191.0139,,,,,,,,,,,
