F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,1,3.273,3.772,4.271,2424,978,100,100,100,0.998,,0,0,0,0,,2424,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-2.d ,1,3.053,3.635,4.251,2663,2505,100,100,100,1.197,,0,0,0,0,,2663,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-2.d ,1,3.202,3.695,4.321,2562,2936,100,100,100,1.12,,0,0,0,0,,2562,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-1.d ,1,3.011,3.654,4.214,4666,3282,100,100,100,1.203,,0,0,0,0,,4666,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-3.d ,1,3.182,3.681,4.202,4029,3311,100,100,100,1.02,,0,0,0,0,,4029,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-2.d ,1,3.043,3.63,4.151,3360,4469,100,100,100,1.109,,0,0,0,0,,3360,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-1.d ,1,3.17,3.613,4.493,753.92,6292.79,100,100,100,0.139,,0,0,,,,,0,10.31,1.01,0,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-3.d ,1,2.984,3.638,4.154,4655,6910,100,100,100,1.17,,0,0,0,0,,4655,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-3.d ,1,3.065,3.642,4.113,6244,12930,100,100,100,1.048,,0,0,0,0,,6244,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-1.d ,1,3.121,3.636,4.224,6221,16949,100,100,100,1.103,,0,0,0,0,,6221,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-1.d ,1,3.2,3.621,4.076,8760,19005,100,100,100,0.876,,0,0,0,0,,8760,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-1.d ,1,3.205,3.621,3.964,9248,19025,100,100,100,0.759,,0,0,0,0,,9248,,100,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero3.d ,1,3.183,3.609,4.506,2979.21,19157.83,100,100,100,0.107,,0,0,,,,,0,0,0.95,6200.39,,,  ,104.0307,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-3.d ,1,3.398,4.243,4.51,141.87,19404.17,100,100,100,2.28,,0,0,,,,,0,0,29.25,697.31,,,  ,346.0573,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-2.d ,1,3.123,3.628,4.055,8581.49,20514.56,100,100,100,0.931,,0,0,0,0,,8581.49,,100,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-2.d ,1,3.053,3.635,4.356,7505,21370,100,100,100,1.303,,0,0,0,0,,7505,,,MM,,,,,M,,,,,,,,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\zero1.d ,1,3.082,3.626,4.191,8325,22006,100,100,100,1.109,,0,0,0,0,,8325,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero2.d ,1,3.105,3.626,4.186,8669,24299,100,100,100,1.081,,0,0,0,0,,8669,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-3.d ,1,2.985,3.633,4.232,11204,26745,100,100,100,1.247,,0,0,0,0,,11204,,,MM,,,,,M,,,,,,,,,,,
