F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero1.d ,2,6.004,6.004,6.004,4907.26,0,0,10.29,0,0,,4907.26,4907.26,259.13,259.13,,4907.26,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-3.d ,1,4.06,4.929,5.224,213.61,5580.33,100,100,100,0.456,,0,0,,,,,0,4.06,5.84,0,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-3.d ,1,4.06,4.847,5.745,881.96,9502.13,100,100,100,1.685,,287.61,295.69,56.94,61.49,,941.03,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-2.d ,1,4.201,4.866,5.997,2695.19,52752.61,100,100,100,1.796,,608.54,379.27,44.76,44.76,,2739.95,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-2.d ,1,4.06,4.795,5.992,4551.24,84872.6,100,100,100,0.396,,0,0,,,,,0,168.69,0.48,4768.68,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-1.d ,1,4.096,5.026,5.975,8715.92,212547.8,100,100,100,0.529,,0,0,,,,,56.5,69.38,0.54,10610.4,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-2.d ,1,4.058,5.044,5.99,8042.17,251464.32,100,100,100,0.526,,412.28,0,,,,,101.13,159.94,0.48,7742.99,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-1.d ,1,4.057,4.766,6.025,9386.23,260608.76,100,100,100,1.968,,0,1560.25,0,258.1,,9479.29,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-3.d ,1,4.059,5.018,5.991,12394.86,328263.09,100,100,100,0.445,,0,967.66,,,,,60.88,456.21,0.42,12386.78,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-3.d ,1,4.154,4.985,6.061,14399.59,336361.7,100,100,100,1.907,,0,838.27,0,-156.09,,14331.53,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-2.d ,1,4.134,4.971,5.958,17731.05,521871.46,100,100,100,1.824,,583.44,3976.72,97.08,97.08,,17828.13,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-1.d ,1,4.064,4.596,6.004,29515.41,618930.06,100,100,100,1.94,,398.34,2283.28,269.38,390.47,,29818,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-1.d ,1,4.058,5.166,6.031,17874.47,676194.54,100,100,100,1.973,,290.23,6112.93,85.81,97.84,,17967.04,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-2.d ,1,4.155,5.109,5.94,34528.94,812348.68,100,100,100,1.785,,0,7529.84,0,188.58,,34629.68,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,1,4.122,5.119,5.973,33111.66,875656.71,100,100,100,1.852,,0,8448.85,0,-179.78,,33014.78,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-3.d ,1,4.263,5.072,6.004,42271.07,920333.42,100,100,100,1.741,,0,7753.26,0,462.72,,42486.21,,,MM,,,,,M,,,,,,,,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\t0-3.d ,1,4.06,4.577,5.992,34461.09,923626.86,100,100,100,0.644,,0,4022.62,,,,,0,4141.58,0.47,38314.21,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-1.d ,1,4.003,4.99,6.016,38838.34,934314.05,100,100,100,2.012,,0,6809.23,0,639.61,,39151.97,,,MM,,,,,M,,,,,,,,,,,
