F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\0p-3.d ,1,3.4,4.007,5.041,28.2,598.18,100,100,100,0.353,,0,0,,,,,0,11.53,1.31,0,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-3.d ,1,3.292,3.876,5.039,47.81,1002.23,100,100,100,0.349,,0,0,,,,,0,0,1,0,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-2.d ,1,2.126,3.812,5.037,101.84,2855.42,100,100,100,0.655,,0,0,,,,,0,0,1.5,0,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-2.d ,1,1.83,3.67,5.134,17433,274046,100,100,100,3.304,,0,0,0,0,,17433,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-1.d ,1,2.126,3.703,5.037,63564.78,699327.89,100,100,100,0.183,,0,0,,,,,0,10.74,1.03,57992.44,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,1,2.113,3.808,5.025,78195.16,1146034.39,100,100,100,0.244,,0,0,,,,,0,0,1.22,77199.93,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-2.d ,1,2.126,3.69,5.038,58710.92,1188020.52,100,100,100,0.641,,0,0,,,,,0,0,1.13,66987.66,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-1.d ,1,2.111,3.686,5.023,67771.79,1233649.31,100,100,100,0.303,,0,0,,,,,0,12.25,1.13,70548.05,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-2.d ,1,2.126,3.674,5.037,68302.53,1403512.31,100,100,100,0.683,,0,0,,,,,0,0,1.2,82091.52,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-2.d ,1,2.125,3.655,5.036,126729.93,1576300.87,100,100,100,0.207,,0,0,,,,,0,22.01,1.13,123420.23,,,  ,104.0307,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-3.d ,1,2.123,3.668,5.034,80112.98,1649083.97,100,100,100,0.64,,0,0,,,,,0,18.63,1.21,107126.17,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-1.d ,1,2.122,3.649,5.034,138972.26,1731708.64,100,100,100,0.208,,0,0,,,,,0,0,1.12,116532.38,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-3.d ,1,2.122,3.64,5.033,158363.23,1841702.25,100,100,100,0.267,,0,0,,,,,0,0,1.45,143549.41,,,  ,104.0307,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-1.d ,1,2.127,3.657,5.038,146282.37,1896547.97,100,100,100,0.284,,0,0,,,,,14.81,22.79,1.09,127209.1,,,  ,237.0881,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-3.d ,1,2.127,3.658,5.038,145409.33,1929549.63,100,100,100,0.288,,0,0,,,,,0,16.73,1.08,129249.28,,,  ,237.0881,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-1.d ,1,2.128,3.61,5.039,175427.01,1984590.1,100,100,100,0.189,,0,0,,,,,39.25,0,1.01,165788.39,,,  ,104.0307,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-1.d ,1,2.128,3.609,5.039,183209.39,2360038.56,100,100,100,0.609,,0,0,,,,,29.91,12.53,1.15,177924.72,,78.86,  ,237.0875,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-3.d ,1,2.128,3.619,5.039,201557.47,2364231.22,100,100,100,0.596,,0,0,,,,,28.03,0,1.05,185003.75,,,  ,104.0307,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-2.d ,1,2.125,3.647,5.037,189910.03,2434964.76,100,100,100,0.292,,0,0,,,,,0,0,1.07,155993.59,,,  ,237.0881,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-2.d ,1,2.129,3.609,5.041,205080.53,2490413.9,100,100,100,0.202,,0,0,,,,,30.03,0,1.01,198647.19,,,  ,104.0307,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero3.d ,1,2.124,3.608,5.036,217400.39,2546302.02,100,100,100,0.607,,0,0,,,,,2.88,0,1.12,202155.77,,,  ,104.0307,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero1.d ,1,2.116,3.611,5.035,216118.79,2643557.59,100,100,100,0.619,,0,0,,,,,0,0,1,201678.05,,,  ,104.0307,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-3.d ,1,2.124,3.65,5.035,204399.1,2646292.08,100,100,100,0.291,,0,0,,,,,13.22,0,1.05,166825.39,,,  ,237.0881,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero2.d ,1,2.128,3.599,5.039,215840.26,2700778.74,100,100,100,0.209,,0,0,,,,,77.81,24.72,1.01,216805.53,,,  ,104.0307,,,,,,,,,,,
