F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\tp-2.d ,1,1.492,1.902,2.612,1353,2752,100,100,100,1.12,,0,0,0,0,,1353,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-1.d ,1,1.676,1.998,3.026,1016.88,8666.91,100,100,100,0.142,,0,0,,,,,0,0,0.84,689.02,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-2.d ,1,1.782,2.101,2.742,1658.76,10009.76,100,100,100,0.101,,0,0,,,,,0,0,0.95,1388.84,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,1,1.61,2.244,2.51,1510.21,12129.94,100,100,100,0.238,,0,0,,,,,0,0,1.03,1415.43,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-1.d ,1,1.619,2.088,2.718,1001.26,12747.07,100,100,100,0.292,,0,0,,,,,0,0,0.89,948.24,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-3.d ,1,1.567,2.052,2.772,1598.07,12900.99,100,100,100,0.281,,0,0,,,,,23,0,0.93,621.11,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-1.d ,1,1.767,2.094,3.011,1929.62,13357.41,100,100,100,0.115,,0,0,,,,,0,34.44,1.04,2366.17,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-2.d ,1,1.623,2.096,2.656,2135.26,14292,100,100,100,0.112,,0,0,,,,,0,0,0.97,2600.24,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-2.d ,1,1.569,2.144,3.024,2848.23,15632.07,100,100,100,0.213,,0,0,,,,,0,0,0.94,2141.77,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-3.d ,1,1.619,2.085,2.36,1429.88,15963.57,100,100,100,0.289,,0,0,,,,,0,0,1.01,1815.5,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-1.d ,1,1.625,1.939,2.689,3375.9,19898.04,100,100,100,0.238,,0,0,,,,,0,0,0.9,2738.55,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-1.d ,1,1.571,2.019,2.312,3084.76,20332.55,100,100,100,0.11,,0,0,,,,,0,0,0.97,2991.64,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero1.d ,1,1.612,1.94,2.195,3455.56,21412.4,100,100,100,0.244,,0,0,,,,,0,0,0.99,3649.13,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero2.d ,1,1.625,1.945,2.313,4581.8,26243.88,100,100,100,0.272,,0,0,,,,,0,0,0.98,4985.32,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-2.d ,1,1.501,1.983,2.554,8581,29798,100,100,100,1.053,,0,0,0,0,,8581,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-3.d ,1,1.572,1.978,2.622,4509.15,29801.8,100,100,100,0.245,,0,0,,,,,0,0,0.92,4583.07,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-2.d ,1,1.593,1.948,2.53,7797,29953,100,100,100,0.937,,0,0,0,0,,7797,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-3.d ,1,1.571,2.028,2.669,2433.22,34069.42,100,100,100,0.337,,0,0,,,,,29.88,0,1.15,4104.01,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero3.d ,1,1.569,1.952,2.679,5785.26,35464.8,100,100,100,0.246,,0,0,,,,,0,0,0.9,9651,,,  ,160.0607,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-3.d ,1,1.499,1.981,2.625,10335,36749,100,100,100,1.125,,0,0,0,0,,10335,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-1.d ,1,1.678,2.005,2.26,5884.52,40698.85,100,100,100,0.115,,0,0,,,,,0,0,1,8337.23,,56.94,  ,160.0607,,,,,,,,,,,
