id,name,bigg,rhea,ec,kegg,transporter,exchange,no id
R_ALATA_L2,Alanine transaminase,ALATA_L2,"['30025', '30026', '30024', '30023']",,,FALSE,FALSE,FALSE
R_ALCD19,Alcohol dehydrogenase (glycerol),ALCD19,"['30029', '30027', '30028', '30030']","['1.1.1.72', '1.1.1.21']",['R01036'],FALSE,FALSE,FALSE
R_ALDD19xr,"Aldehyde dehydrogenase (phenylacetaldehyde, NAD)",ALDD19xr,"['21392', '21395', '21394', '21393']","['1.2.1.5', '1.2.1.39']",['R02536'],FALSE,FALSE,FALSE
R_ALDD2x,"Aldehyde dehydrogenase (acetaldehyde, NAD)",ALDD2x,"['25294', '25297', '25296', '25295']","['1.2.1.3', '1.2.1.5']",['R00710'],FALSE,FALSE,FALSE
R_ALLTAHr,Allantoate amidinohydrolase  reversible,ALLTAHr,"['11018', '11016', '11017', '11019']",['3.5.3.4'],['R02422'],FALSE,FALSE,FALSE
R_ALLTN,Allantoinase,ALLTN,"['30822', '30821', '30819', '30820']",['3.5.2.5'],,FALSE,FALSE,FALSE
R_ABTA,4-aminobutyrate transaminase,ABTA,"['23353', '23352', '23354', '23355']",['2.6.1.19'],['R01648'],FALSE,FALSE,FALSE
R_ABUTD,Aminobutyraldehyde dehydrogenase,ABUTD,"['19108', '19105', '19107', '19106']","['1.2.1.19', '1.2.1.3', '1.2.1.-']",['R02549'],FALSE,FALSE,FALSE
R_ALTRH,Altronate hydrolase,ALTRH,"['15959', '15960', '15957', '15958']",['4.2.1.7'],['R01540'],FALSE,FALSE,FALSE
R_AMALT1,Amylomaltase (maltotriose),AMALT1,,['2.4.1.25'],,FALSE,FALSE,FALSE
R_AMALT2,Amylomaltase (maltotetraose),AMALT2,,['2.4.1.25'],,FALSE,FALSE,FALSE
R_AMALT3,Amylomaltase (maltopentaose),AMALT3,,['2.4.1.25'],,FALSE,FALSE,FALSE
R_AMALT4,Amylomaltase (maltohexaose),AMALT4,,['2.4.1.25'],,FALSE,FALSE,FALSE
R_AMANAPEr,N-acetylmannosamine 6-phosphate epimerase,AMANAPEr,"['25259', '25257', '25258', '25260']",['5.1.3.9'],['R02087'],FALSE,FALSE,FALSE
R_AMANK,N-acetyl-D-mannosamine kinase,AMANK,"['25253', '25256', '25254', '25255']",['2.7.1.60'],['R02705'],FALSE,FALSE,FALSE
R_AMAOTr,Adenosylmethionine-8-amino-7-oxononanoate transaminase,AMAOTr,"['16863', '16861', '16862', '16864']",['2.6.1.62'],['R03231'],FALSE,FALSE,FALSE
R_ACACCT,Acetyl-CoA:acetoacetyl-CoA transferase,ACACCT,"['27809', '27807', '27806', '27808']","['2.8.3.9', '2.8.3.8']",['R01359'],FALSE,FALSE,FALSE
