id,name,bigg,rhea,ec,kegg,transporter,exchange,no id
R_PFK,Phosphofructokinase,PFK,"['16111', '16109', '16110', '16112']",['2.7.1.11'],,FALSE,FALSE,FALSE
R_PFL,Pyruvate formate lyase,PFL,"['11847', '11845', '11844', '11846']",['2.3.1.54'],['R00212'],FALSE,FALSE,FALSE
R_PGI,Glucose-6-phosphate isomerase,PGI,,['5.3.1.9'],,FALSE,FALSE,FALSE
R_PGK,Phosphoglycerate kinase,PGK,"['14801', '14804', '14802', '14803']",['2.7.2.3'],['R01512'],FALSE,FALSE,FALSE
R_PGL,6-phosphogluconolactonase,PGL,"['12559', '12556', '12557', '12558']",['3.1.1.31'],['R02035'],FALSE,FALSE,FALSE
R_ACALD,Acetaldehyde dehydrogenase (acetylating),ACALD,"['23290', '23291', '23289', '23288']",['1.2.1.10'],['R00228'],FALSE,FALSE,FALSE
R_PGM,Phosphoglycerate mutase,PGM,"['15902', '15903', '15901', '15904']","['5.4.2.1', '5.4.2.11', '5.4.2.12']",['R01518'],FALSE,FALSE,FALSE
R_ALCD2x,Alcohol dehydrogenase (ethanol),ALCD2x,"['25292', '25290', '25291', '25293']","['1.1.1.71', '1.1.1.1']",['R00754'],FALSE,FALSE,FALSE
R_ACKr,Acetate kinase,ACKr,"['11354', '11355', '11353', '11352']","['2.7.2.15', '2.7.2.1']",['R00315'],FALSE,FALSE,FALSE
R_PPC,Phosphoenolpyruvate carboxylase,PPC,"['23073', '23072', '23075', '23074']",['4.1.1.31'],['R00345'],FALSE,FALSE,FALSE
R_ACONTa,"Aconitase (half-reaction A, Citrate hydro-lyase)",ACONTa,"['10230', '10229', '10231', '10228']",['4.2.1.3'],['R01325'],FALSE,FALSE,FALSE
R_ACONTb,"Aconitase (half-reaction B, Isocitrate hydro-lyase)",ACONTb,"['22145', '22144', '22146', '22147']",['4.2.1.3'],['R01900'],FALSE,FALSE,FALSE
