Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters,Species,Relative
Glucose-6-phosphate isomerase,5.3.1.9,Enzyme,0.001278443,,,,Escherichia coli,rel0
6-phosphofructokinase,2.7.1.11,Enzyme,0.001095808,,,,Escherichia coli,rel0
Fructose-bisphosphatase,3.1.3.11,Enzyme,0.001826347,,,,Escherichia coli,rel0
Fructose-bisphosphate aldolase,4.1.2.13,Enzyme,0.005661677,,,,Escherichia coli,rel0
Triose-phosphate isomerase,5.3.1.1,Enzyme,0.002374251,,,,Escherichia coli,rel0
Phosphoglycerate kinase,2.7.2.3,Enzyme,0.009131737,,,,Escherichia coli,rel0
Phosphopyruvate hydratase,4.2.1.11,Enzyme,0.009314371,,,,Escherichia coli,rel0
"Pyruvate, water dikinase",2.7.9.2,Enzyme,0.00657485,,,,Escherichia coli,rel0
Pyruvate kinase,2.7.1.40,Enzyme,0.01041018,,,,Escherichia coli,rel0
Pyruvate dehydrogenase (acetyl-transferring),1.2.4.1,Enzyme,0.011323353,,,,Escherichia coli,rel0
Aconitate hydratase,4.2.1.3,Enzyme,0.017715569,,,,Escherichia coli,rel0
Oxoglutarate dehydrogenase (succinyl-transferring),1.2.4.2,Enzyme,0.01698503,,,,Escherichia coli,rel0
Succinate-coa ligase (adp-forming),6.2.1.5,Enzyme,0.019907186,,,,Escherichia coli,rel0
Succinate dehydrogenase,1.3.5.1,Enzyme,0.001826347,,,,Escherichia coli,rel0
Fumarate hydratase,4.2.1.2,Enzyme,0.006026946,,,,Escherichia coli,rel0
Malate dehydrogenase,1.1.1.37,Enzyme,0.007670659,,,,Escherichia coli,rel0
"Phosphogluconate dehydrogenase (nadp+-dependent, decarboxylating)",1.1.1.44,Enzyme,0.005479042,,,,Escherichia coli,rel0
Ribulose-phosphate 3-epimerase,5.1.3.1,Enzyme,0.000547904,,,,Escherichia coli,rel0
Ribose-5-phosphate isomerase,5.3.1.6,Enzyme,0.001643713,,,,Escherichia coli,rel0
Transketolase,2.2.1.1,Enzyme,0.01004491,,,,Escherichia coli,rel0
Transaldolase,2.2.1.2,Enzyme,0.008401198,,,,Escherichia coli,rel0
3-oxoacyl-[acyl-carrier-protein] reductase,1.1.1.100,Enzyme,0.000913174,,,,Escherichia coli,rel0
Enoyl-[acyl-carrier-protein] reductase (nadh),1.3.1.9,Enzyme,0.007305389,,,,Escherichia coli,rel0
Beta-ketoacyl-[acyl-carrier-protein] synthase iii,2.3.1.180,Enzyme,0.001643713,,,,Escherichia coli,rel0
[acyl-carrier-protein] s-malonyltransferase,2.3.1.39,Enzyme,0.001461078,,,,Escherichia coli,rel0
Beta-ketoacyl-[acyl-carrier-protein] synthase i,2.3.1.41,Enzyme,0.00347006,,,,Escherichia coli,rel0
Acetyl-coa c-acyltransferase,2.3.1.16,Enzyme,0.001,,,,Escherichia coli,rel0
Long-chain-fatty-acid-coa ligase,6.2.1.3,Enzyme,0.001,,,,Escherichia coli,rel0
Acetyl-coa carboxylase,6.4.1.2,Enzyme,0.003287425,,,,Escherichia coli,rel0
Biotin carboxylase,6.3.4.14,Enzyme,0.003652695,,,,Escherichia coli,rel0
3-hydroxyacyl-[acyl-carrier-protein] dehydratase,4.2.1.59,Enzyme,0.002191617,,,,Escherichia coli,rel0
Glycogen phosphorylase,2.4.1.1,Enzyme,0.000913174,,,,Escherichia coli,rel0
"Phosphoglucomutase (alpha-d-glucose-1,6-bisphosphate-dependent)",5.4.2.2,Enzyme,0.002739521,,,,Escherichia coli,rel0
Dihydrolipoyl dehydrogenase,1.8.1.4,Enzyme,0.011871257,,,,Escherichia coli,rel0
Glycine hydroxymethyltransferase,2.1.2.1,Enzyme,0.005661677,,,,Escherichia coli,rel0
Serine-trna ligase,6.1.1.11,Enzyme,0.005661677,,,,Escherichia coli,rel0
Glycine-trna ligase,6.1.1.14,Enzyme,0.006392216,,,,Escherichia coli,rel0
Membrane alanyl aminopeptidase,3.4.11.2,Enzyme,0.00347006,,,,Escherichia coli,rel0
Glycine c-acetyltransferase,2.3.1.29,Enzyme,0.003287425,,,,Escherichia coli,rel0
Aminomethyltransferase,2.1.2.10,Enzyme,0.002556886,,,,Escherichia coli,rel0
Pepb aminopeptidase,3.4.11.23,Enzyme,0.002008982,,,,Escherichia coli,rel0
Glutathione synthase,6.3.2.3,Enzyme,0.001826347,,,,Escherichia coli,rel0
L-serine ammonia-lyase,4.3.1.17,Enzyme,0.000913174,,,,Escherichia coli,rel0
Threonine ammonia-lyase,4.3.1.19,Enzyme,0.001643713,,,,Escherichia coli,rel0
Leucyl aminopeptidase,3.4.11.1,Enzyme,0.000730539,,,,Escherichia coli,rel0
Phosphoribosylamine-glycine ligase,6.3.4.13,Enzyme,0.000365269,,,,Escherichia coli,rel0
Citrate synthase,2.3.3.16,Enzyme,0.005296407,,,,Escherichia coli,rel0
