Accession Number,Conc,EC
﻿WP_000031784.1,63.5
WP_000124700.1,64.5
WP_000729117.1,57
WP_000140327.1,53.5
WP_000516135.1,52.5
WP_000444487.1,28
WP_012767773.1,28
WP_000133044.1,27
WP_000818114.1,27.5
WP_001235102.1,28
WP_000301864.1,27
WP_000091945.1,24
WP_000678201.1,28
WP_000246882.1,24.5
WP_001196062.1,21
WP_000135224.1,26
WP_000529945.1,17.5
WP_001096200.1,21
WP_001138043.1,19
WP_001216368.1,13
WP_000940120.1,24.5
WP_001031057.1,15.5
WP_001096684.1,20
WP_000579833.1,20.5
WP_000044679.1,16
WP_000729185.1,10.5
WP_000570668.1,10.5
WP_001029684.1,11.5
WP_001207201.1,16.5
WP_001026276.1,14
WP_000090775.1,17
WP_000494183.1,14.5
WP_000028878.1,14
WP_000091955.1,14
WP_000847559.1,12
WP_000065253.1,15
WP_000246815.1,7
WP_000447529.1,14.5
WP_001138117.1,14.5
WP_000775540.1,14.5
WP_000617544.1,2
WP_000103754.1,11.5
WP_001280776.1,11
WP_001287378.1,9
WP_001296310.1,9
WP_000424395.1,12.5
WP_001181004.1,12
WP_001238917.1,12.5
WP_001216675.1,8.5
WP_000829818.1,10.5
WP_000613955.1,7.5
WP_000046749.1,9.5
WP_001138904.1,5.5
WP_001085926.1,9
WP_001062678.1,7.5
WP_000622418.1,6
WP_000271401.1,13
WP_000841001.1,7.5
WP_000487600.1,6.5
WP_000756569.1,6
WP_001700733.1,7.5
WP_000257293.1,8.5
WP_001140433.1,7.5
WP_001144069.1,9.5
WP_000431370.1,9
WP_000651599.1,8
WP_000290224.1,11
WP_000887629.1,9.5
WP_001044513.1,8
WP_000124850.1,10
WP_000358960.1,7
WP_000644741.1,7.5
WP_001018040.1,7
WP_000426124.1,4.5
WP_000800457.1,6
WP_001075164.1,5.5
WP_000619389.1,4.5
WP_001287516.1,4.5
WP_001300573.1,6
WP_001216521.1,2.5
WP_000758956.1,6
WP_001296623.1,3
WP_001274021.1,6.5
WP_001135574.1,4.5
WP_000059466.1,0.5
WP_000351315.1,4.5
WP_001118930.1,4.5
WP_000256450.1,7
WP_000135199.1,6
WP_000108172.1,5.5
WP_000062611.1,6
WP_000178456.1,4
WP_000331707.1,7
WP_001148001.1,7.5
WP_000941212.1,5.5
WP_000940595.1,5
WP_001155227.1,4.5
WP_000130100.1,2.5
WP_000290727.1,6
WP_000718995.1,2.5
WP_000047539.1,3.5
WP_001051798.1,3.5
WP_000091700.1,2.5
WP_000437375.1,4.5
WP_000886062.1,6.5
WP_000003377.1,2
WP_072094260.1,4.5
WP_001343212.1,5
WP_000710769.1,4
WP_000505877.1,4
WP_001051883.1,3.5
WP_001040187.1,6
WP_001229265.1,3.5
WP_000175940.1,2.5
WP_000100800.1,3
WP_000242755.1,4.5
WP_001295263.1,1
WP_001043542.1,3.5
WP_000725337.1,3
WP_001301404.1,4.5
WP_000257278.1,3
WP_000168305.1,3.5
WP_000167336.1,3.5
WP_000131702.1,2
WP_001295307.1,3
WP_000798859.1,2
WP_000907234.1,4
WP_000070491.1,2
WP_000024392.1,2
WP_000850550.1,1
WP_000083065.1,2
WP_001033722.1,1.5
WP_000154398.1,6.5
WP_000857361.1,3.5
WP_000977920.1,1.5
WP_000933736.1,5
WP_001018618.1,2
WP_001001902.1,2.5
WP_000101055.1,0.5
WP_001157756.1,2.5
WP_000572670.1,0
WP_000717694.1,2.5
WP_000801125.1,2.5
WP_000097580.1,2.5
WP_000168475.1,1
WP_000450409.1,1.5
WP_000805027.1,1
WP_000804726.1,1
WP_000699145.1,4
WP_000467098.1,2
WP_012767758.1,1
WP_000879113.1,2.5
WP_000980709.1,2
WP_001040205.1,2.5
WP_001124469.1,1
WP_001703864.1,0.5
WP_000697915.1,0.5
WP_000115383.1,2
WP_001169669.1,0.5
WP_001056384.1,1.5
WP_000082127.1,1
WP_001194358.1,2
WP_000200120.1,0.5
WP_000028953.1,1.5
WP_000462776.1,0
WP_001295564.1,2
WP_000386551.1,1
WP_000174677.1,2.5
WP_000905789.1,3
WP_001136827.1,2
WP_000831330.1,1.5
WP_000750416.1,1
WP_000511025.1,2
WP_001300397.1,1
WP_000378442.1,1.5
WP_000961458.1,2.5
WP_001117011.1,0.5
WP_000769322.1,1.5
WP_000089731.1,1
WP_001161664.1,1
WP_001176599.1,1
WP_001232240.1,1.5
WP_000014594.1,1
WP_001295347.1,1
WP_001265481.1,1
WP_000323571.1,0
WP_000712658.1,1.5
WP_000476487.1,2
WP_000532923.1,0.5
WP_001056273.1,3
WP_001031530.1,2
WP_000339283.1,1.5
WP_001295748.1,1
WP_001295905.1,1
WP_000384413.1,1.5
WP_000965952.1,1
WP_000190982.1,1
WP_000854972.1,0
WP_001295553.1,0
WP_001297484.1,0
WP_001297679.1,1
WP_000849209.1,1.5
WP_001053178.1,1
WP_001295344.1,1
WP_001276008.1,1
WP_000780912.1,0.5
WP_001158034.1,1
WP_001296261.1,1.5
WP_000183349.1,0
WP_000251727.1,0.5
WP_001295266.1,1
WP_000212680.1,1.5
WP_000499751.1,1
WP_001295493.1,0
WP_000323556.1,0.5
WP_001298606.1,0.5
WP_000748271.1,1.5
WP_001045689.1,1
WP_000586962.1,0
WP_000667319.1,0.5
WP_000437935.1,0.5
WP_000350058.1,1.5
WP_001295378.1,2.5
WP_000940106.1,0.5
WP_001318307.1,0.5
WP_000559764.1,0.5
WP_000462905.1,1.5
WP_001326641.1,0
WP_000669834.1,0.5
WP_001043339.1,0
WP_000228473.1,0.5
WP_001185665.1,1.5
WP_000973448.1,0
